Room Type,Style Name,Full Name,Popularity,Image Status,Image URL
home-bar,Hollywood,Hollywood Regency Home Bar,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-bar-hollywood-regency.png
home-gym,Organic,Organic Modern Home Gym,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-organic-modern.png
home-gym,Scandinavian,Scandinavian Home Gym,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-scandinavian.png
home-gym,Modern,Modern Minimalist Home Gym,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-modern-minimalist.png
home-gym,Contemporary,Contemporary Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-contemporary.png
home-gym,Zen,Zen Minimalism Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-zen-minimalism.png
home-gym,Industrial,Industrial Loft Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-industrial-loft.png
home-gym,Natural,Natural Biophilic Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-natural-biophilic.png
home-gym,Urban,Urban Modern Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-urban-modern.png
home-gym,Modern,Modern Luxury Home Gym,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-modern-luxury.png
home-gym,Brutalist,Brutalist Home Gym,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-gym-brutalist.png
home-office,Latte,Latte / Creamy Style Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-latte-creamy-style.png
home-office,Organic,Organic Modern Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-organic-modern.png
home-office,Quiet,Quiet Luxury Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-quiet-luxury.png
home-office,Scandinavian,Scandinavian Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-scandinavian.png
home-office,Japandi,Japandi Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-japandi.png
home-office,Modern,Modern Minimalist Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-modern-minimalist.png
home-office,Mid-Century,Mid-Century Modern Home Office,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-mid-century-modern.png
home-office,Contemporary,Contemporary Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-contemporary.png
home-office,Transitional,Transitional Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-transitional.png
home-office,Zen,Zen Minimalism Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-zen-minimalism.png
home-office,Industrial,Industrial Loft Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-industrial-loft.png
home-office,Traditional,Traditional Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-traditional.png
home-office,Natural,Natural Biophilic Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-natural-biophilic.png
home-office,Urban,Urban Modern Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-urban-modern.png
home-office,Modern,Modern Luxury Home Office,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-modern-luxury.png
home-office,Art,Art Gallery Home Office,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-office-art-gallery.png
home-theater,Quiet,Quiet Luxury Home Theater,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-quiet-luxury.png
home-theater,Maximalist,Maximalist Home Theater,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-maximalist.png
home-theater,Modern,Modern Minimalist Home Theater,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-modern-minimalist.png
home-theater,Contemporary,Contemporary Home Theater,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-contemporary.png
home-theater,Art,Art Deco Home Theater,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-art-deco.png
home-theater,Industrial,Industrial Loft Home Theater,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-industrial-loft.png
home-theater,Urban,Urban Modern Home Theater,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-urban-modern.png
home-theater,Modern,Modern Luxury Home Theater,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-modern-luxury.png
home-theater,Hollywood,Hollywood Regency Home Theater,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-hollywood-regency.png
home-theater,Brutalist,Brutalist Home Theater,low,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-home-theater-brutalist.png
kids-room,Latte,Latte / Creamy Style Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-latte-creamy-style.png
kids-room,Dopamine,Dopamine Decor Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-dopamine-decor.png
kids-room,Scandinavian,Scandinavian Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-scandinavian.png
kids-room,Maximalist,Maximalist Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-maximalist.png
kids-room,Cottagecore,Cottagecore Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-cottagecore.png
kids-room,Modern,Modern Minimalist Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-modern-minimalist.png
kids-room,Coastal,Coastal Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-coastal.png
kids-room,Bohemian,Bohemian Kids Room,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-bohemian.png
kids-room,Contemporary,Contemporary Kids Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-contemporary.png
kids-room,Nordic,Nordic Light Kids Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-nordic-light.png
kids-room,Natural,Natural Biophilic Kids Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-natural-biophilic.png
kids-room,Retro,Retro Vintage Kids Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-retro-vintage.png
kids-room,Colorful,Colorful Contemporary Kids Room,medium,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kids-room-colorful-contemporary.png
kitchen,Latte,Latte / Creamy Style Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-latte-creamy-style.png
kitchen,Organic,Organic Modern Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-organic-modern.png
kitchen,Scandinavian,Scandinavian Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-scandinavian.png
kitchen,Japandi,Japandi Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-japandi.png
kitchen,Modern,Modern Farmhouse Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-modern-farmhouse.png
kitchen,Modern,Modern Minimalist Kitchen,high,pending,https://storage.googleapis.com/aistudio-hosting/templates/placeholder-kitchen-modern-minimalist.png
